کے	4585415
کی	3469696
میں	3361281
ہے	2734573
اور	2671619
سے	2433857
نے	1924584
کو	1808354
کا	1799790
کہ	1653495
اس	1506871
پر	1276902
ہیں	1161724
کر	875169
بھی	851256
نہیں	778757
یہ	773333
کیا	725699
ایک	711033
ان	708628
وہ	669288
تو	646095
ہو	635759
و	559315
تھا	460587
کہا	456605
جو	422492
نہ	412971
کرنے	367073
پاکستان	361132
گیا	348564
ہی	344530
اللہ	341780
جس	340416
اپنے	338904
ہوئے	310132
تھے	306140
لئے	279110
گا	275005
جائے	273102
کوئی	272328
دیا	267319
انہوں	260567
کرتے	253116
ہم	250859
تک	245562
ساتھ	242479
گے	238291
بعد	230913
رہے	229166
اپنی	225647
تھی	223106
کسی	220822
	217541
ہوں	207010
کراچی	206539
لیے	204434
حکومت	200143
گئی	197856
جب	196011
لیکن	194829
آپ	194621
والے	194143
کیلئے	192921
یا	192769
بات	190593
ہوا	187601
ملک	182269
گئے	180467
طرح	178808
ہونے	178074
گی	174974
رہا	173767
پھر	170355
بن	165232
اگر	162810
کچھ	160741
اب	160707
دی	159316
وقت	157305
بے	155725
محمد	153326
سب	152968
ہر	148992
پی	147612
سی	145805
دو	139819
صدر	133516
بہت	133508
مطابق	132141
اسے	131480
طرف	130000
تم	129929
دے	129450
رہی	128359
خلاف	126664
ہوئی	125725
کرنا	125645
اے	124034
تمام	123148
علی	121042
زیادہ	120765
جا	120534
کام	120063
خان	119579
کریں	119380
لے	115141
جبکہ	114224
ہوتا	113533
لوگوں	113455
انہیں	112805
صرف	112360
آئی	111200
پہلے	111199
اسی	110822
مگر	109619
طور	109553
جنگ	109402
علیہ	108737
حاصل	108239
پیش	105011
سندھ	104764
لوگ	104543
عوام	103454
سال	101909
جن	100503
مجھے	97900
حضرت	97702
جانب	95558
کرے	95001
جاتا	94933
ایم	94681
جانے	94260
خود	94193
وزیر	94139
والی	93172
لیا	91138
دن	91131
پولیس	91074
دنیا	90615
جاری	90523
وجہ	90475
صلی	89628
اسلام	88699
نام	88639
احمد	88461
روپے	88214
کم	88056
نظر	87501
آج	86944
ڈاکٹر	85419
افراد	85252
آباد	84936
میرے	84717
دونوں	84621
قومی	84565
ہمارے	84527
بلکہ	82657
شروع	82236
جائیں	81069
سلم	80487
موقع	80419
پاس	79452
کئے	79210
اسٹاف	78005
سیاسی	77756
دیگر	77596
دوران	77383
ہوتی	77118
عمل	76150
پارٹی	75429
دل	75173
ا	74678
آ	74563
حسین	74234
حوالے	74120
کرتا	74104
رپورٹر	74084
سکتا	73637
دوسرے	73170
شخص	72902
یہاں	72634
فرمایا	72235
گھر	72232
زندگی	71872
مسلم	71263
بڑی	71126
موجود	71069
غیر	70817
ایسے	70403
بتایا	70219
سامنے	70207
صاحب	69921
اپنا	69363
شاہ	69215
دور	69088
ایس	68775
پیدا	68452
رسول	68081
مختلف	67763
بیان	67424
شامل	67146
دہشت	66990
بار	66977
قائم	66206
دینے	66104
یعنی	65972
امریکی	65903
پاکستانی	65832
کبھی	65655
ٹیم	65183
بارے	64718
بھارت	64623
ایسا	64513
روز	64450
اظہار	63948
جنرل	63596
بی	63535
جہاں	63405
آئے	62804
کیونکہ	62309
جاتی	61439
حق	61392
اجلاس	61304
میری	61002
تین	60868
ہمیں	60710
فیصلہ	58882
کیوں	58640
یہی	58539
ہوتے	58219
ختم	58210
کمیٹی	58126
مزید	57852
بنا	57830
والا	57588
لیگ	57290
جیسے	56733
بڑے	56540
کہنا	56270
جی	56170
ہوگا	55549
پانی	54495
خطاب	54489
قوم	54460
چاہئے	54435
خدا	54091
ادا	53857
سید	53834
شہر	53628
والوں	53250
وہاں	52998
تھیں	52953
وزیراعظم	52840
جاتے	52828
ضرورت	52747
استعمال	52601
کئی	52455
جواب	52451
اہم	52418
قرار	52124
ر	51810
کردیا	51739
کرکے	51674
کوشش	51398
ڈی	51280
ہاتھ	51172
دوسری	51092
علاوہ	50851
تعالیٰ	50663
ایسی	50602
ہماری	50526
دیں	50150
کس	49967
درمیان	49869
دیتے	49350
تاہم	49298
او	49273
رپورٹ	49264
این	49211
آیا	48854
باعث	48849
صورت	48831
حکم	48594
بھر	48280
ٹی	48119
سابق	48037
قتل	47917
عمر	47855
بند	47709
تحت	47587
آف	47559
سر	47415
پوری	47319
چیف	47288
نیوز	47256
چوہدری	47112
اُس	46979
اضافہ	46941
آنے	46909
مکمل	46638
سکتے	46456
سمیت	46415
امریکہ	46402
خیال	45931
جگہ	45863
کہتے	45806
بعض	45659
آلہ	45613
قبل	45599
جان	45444
زرداری	45187
ایف	45159
ن	45094
دیکھ	44839
چند	44816
اختیار	44673
لگا	44591
کشمیر	44585
مل	44499
تعلیم	44312
شریف	43997
پنجاب	43934
عام	43899
ہزار	43798
فیصد	43754
تاکہ	43522
گزشتہ	43125
عدالت	42977
جسٹس	42928
قانون	42925
چیئرمین	42864
کار	42814
کردار	42750
ذریعے	42464
نظام	42305
حصہ	42304
نماز	42142
رات	41849
بجلی	41786
کہیں	41684
سو	41681
مسائل	41417
اسمبلی	41348
گردی	41343
تحریک	41111
بڑا	40946
اندر	40906
کورٹ	40869
کرتی	40765
جماعت	40734
کیے	40650
فوج	40487
رکھنے	40483
کرکٹ	40370
زمین	40089
رکھا	40056
اعلان	39938
قریب	39896
مولانا	39756
امن	39696
حال	39613
ترقی	39213
علم	39174
معلوم	39089
کمی	39040
سوال	38986
ذرائع	38939
ممالک	38805
قسم	38766
مدد	38745
رہ	38677
بنانے	38669
انسان	38577
اعلیٰ	38524
برطانیہ	38273
باوجود	38239
باہر	38234
ہونا	38222
تعلق	38203
دیکھا	38165
روایت	38164
لاہور	38144
علاقوں	38061
ذمہ	38060
میرا	37915
یاد	37906
نئی	37878
ابھی	37814
فراہم	37761
کتاب	37734
نئے	37733
واضح	37642
ابو	37624
حل	37491
پاک	37469
لندن	37357
وفاقی	37337
حسن	37209
صوبائی	37106
بہتر	37064
واپس	37037
تعداد	36837
بچوں	36604
سکے	36481
ملاقات	36380
بغیر	36366
چار	36362
عالمی	36292
زبان	35940
صورتحال	35749
حالات	35726
پہنچ	35695
تیار	35547
مجھ	35410
لاکھ	35272
رضی	35259
سخت	35206
سکتی	35174
تاریخ	35075
اُن	35061
کہاکہ	35040
فی	35021
اقبال	34982
قرآن	34757
علاقے	34742
وہی	34738
ماہ	34684
آگے	34556
بڑھ	34317
اردو	34203
کرو	34077
آصف	34061
بورڈ	34011
افغانستان	33983
ثابت	33969
ضروری	33824
پروگرام	33818
کہہ	33810
بھٹو	33810
اسلامی	33488
ای	33378
موجودہ	33338
پیپلز	33323
چیز	33318
خصوصی	33250
سلسلے	33196
انداز	33083
کارروائی	32992
دار	32916
امریکا	32721
متعلق	32715
شدید	32710
آزاد	32633
شرکت	32622
ابن	32532
اہل	32530
پ	32486
ہوگی	32449
بجائے	32448
ہلاک	32375
عالم	32326
اداروں	32223
میڈیا	32220
چاہیے	32205
کانفرنس	32183
سیکرٹری	32050
پہلی	31999
ہوگئے	31959
بنایا	31759
ظاہر	31731
قیادت	31704
انھوں	31652
مشرف	31501
سطح	31463
مسئلہ	31322
چاہتے	31276
یقین	31262
دیتا	31222
اعظم	31141
جسے	31007
پہ	30980
سرکاری	30945
س	30925
بس	30916
بھارتی	30897
نواز	30890
لی	30843
آدمی	30819
ہاں	30749
تمہارے	30668
رکھتے	30653
میاں	30600
بھائی	30478
رضا	30286
مسلمانوں	30271
ہدایت	30250
متحدہ	30236
گرفتار	30148
پرویز	30101
کون	30019
خوش	29990
شیخ	29858
خواتین	29828
ہمیشہ	29799
راہ	29797
ذکر	29786
پسند	29698
چکے	29520
طالبان	29251
چکا	29201
ٹیکس	29195
حد	29174
لگے	29149
حقیقت	29084
ہوگیا	28958
قابل	28953
انتہائی	28907
بینک	28894
اقدامات	28866
ممکن	28741
دیئے	28733
گفتگو	28712
مسلمان	28674
میچ	28618
فیصلے	28477
زیر	28450
لینے	28395
نقصان	28383
آر	28355
محبت	28342
ملکی	28335
ایمان	28170
جلد	28074
