filename,filesize,encoding,header
books_large_p1_1.txt,40000000,,
books_large_p1_2.txt,40000000,,
books_large_p1_3.txt,40000000,,
books_large_p1_4.txt,40000000,,
books_large_p1_5.txt,40000000,,
books_large_p1_6.txt,40000000,,
books_large_p1_7.txt,40000000,,
books_large_p1_8.txt,40000000,,
books_large_p1_9.txt,40000000,,
books_large_p1_10.txt,40000000,,
books_large_p1_11.txt,40000000,,
books_large_p1_12.txt,40000000,,
books_large_p1_13.txt,40000000,,
books_large_p1_14.txt,40000000,,
books_large_p1_15.txt,40000000,,
books_large_p1_16.txt,40000000,,
books_large_p1_17.txt,40000000,,
books_large_p1_18.txt,40000000,,
books_large_p1_19.txt,40000000,,
books_large_p1_20.txt,40000000,,
books_large_p1_21.txt,40000000,,
books_large_p1_22.txt,40000000,,
books_large_p1_23.txt,40000000,,
books_large_p1_24.txt,40000000,,
books_large_p1_25.txt,40000000,,
books_large_p1_26.txt,40000000,,
books_large_p1_27.txt,40000000,,
books_large_p1_28.txt,40000000,,
books_large_p1_29.txt,40000000,,
books_large_p1_30.txt,40000000,,
books_large_p1_31.txt,40000000,,
books_large_p1_32.txt,40000000,,
books_large_p1_33.txt,40000000,,
books_large_p1_34.txt,40000000,,
books_large_p1_35.txt,40000000,,
books_large_p1_36.txt,40000000,,
books_large_p1_37.txt,40000000,,
books_large_p1_38.txt,40000000,,
books_large_p1_39.txt,40000000,,
books_large_p1_40.txt,40000000,,
books_large_p1_41.txt,40000000,,
books_large_p1_42.txt,40000000,,
books_large_p1_43.txt,40000000,,
books_large_p1_44.txt,40000000,,
books_large_p1_45.txt,40000000,,
books_large_p1_46.txt,40000000,,
books_large_p1_47.txt,40000000,,
books_large_p1_48.txt,40000000,,
books_large_p1_49.txt,40000000,,
books_large_p1_50.txt,40000000,,
books_large_p1_51.txt,40000000,,
books_large_p1_52.txt,40000000,,
books_large_p1_53.txt,40000000,,
books_large_p1_54.txt,40000000,,
books_large_p1_55.txt,40000000,,
books_large_p1_56.txt,40000000,,
books_large_p1_57.txt,40000000,,
books_large_p1_58.txt,40000000,,
books_large_p1_59.txt,40000000,,
books_large_p1_60.txt,40000000,,
books_large_p1_61.txt,40000000,,
books_large_p1_62.txt,40000000,,
books_large_p1_63.txt,36788764,,
